Year,Annual Increase,Uncertainty
1959-11-01,0.94,0.11
1960-11-01,0.54,0.11
1961-11-01,0.95,0.11
1962-11-01,0.64,0.11
1963-11-01,0.71,0.11
1964-11-01,0.28,0.11
1965-11-01,1.02,0.11
1966-11-01,1.24,0.11
1967-11-01,0.74,0.11
1968-11-01,1.03,0.11
1969-11-01,1.31,0.11
1970-11-01,1.06,0.11
1971-11-01,0.84,0.11
1972-11-01,1.69,0.11
1973-11-01,1.22,0.11
1974-11-01,0.81,0.11
1975-11-01,1.09,0.11
1976-11-01,0.81,0.11
1977-11-01,2.16,0.11
1978-11-01,1.31,0.11
1979-11-01,1.80,0.11
1980-11-01,1.68,0.11
1981-11-01,1.43,0.11
1982-11-01,0.99,0.11
1983-11-01,2.10,0.11
1984-11-01,1.40,0.11
1985-11-01,1.26,0.11
1986-11-01,1.48,0.11
1987-11-01,2.20,0.11
1988-11-01,2.16,0.11
1989-11-01,1.36,0.11
1990-11-01,1.16,0.11
1991-11-01,1.04,0.11
1992-11-01,0.46,0.11
1993-11-01,1.35,0.11
1994-11-01,1.94,0.11
1995-11-01,2.00,0.11
1996-11-01,1.22,0.11
1997-11-01,1.93,0.11
1998-11-01,2.93,0.11
1999-11-01,0.93,0.11
2000-11-01,1.61,0.11
2001-11-01,1.61,0.11
2002-11-01,2.50,0.11
2003-11-01,2.27,0.11
2004-11-01,1.60,0.11
2005-11-01,2.54,0.11
2006-11-01,1.68,0.11
2007-11-01,2.27,0.11
2008-11-01,1.57,0.11
2009-11-01,2.02,0.11
2010-11-01,2.32,0.11
2011-11-01,1.92,0.11
2012-11-01,2.61,0.11
2013-11-01,2.01,0.11
2014-11-01,2.18,0.11
2015-11-01,3.02,0.11
2016-11-01,2.99,0.11
2017-11-01,1.89,0.11
